id,day,hit_t,entry_t,side,asset,trigger_asset,entry,stop,tp,exit,exit_t,reason,moved_be,be_t,stop_dist,risk_R,pts,R,t,x,mnd,kilde,akk
2,2024-11-08,2024-11-08 09:38:00,2024-11-08 09:38:00,SHORT,NQ,NQ,21213.25,21230.25,21138.25,21213.25,2024-11-08 09:47:30,BE,True,2024-11-08 09:45:00,17.0,1.7,-0.0,-0.0,15:38:00,15:47:30,2024-11,dbfull,-0.0
3,2024-11-08,2024-11-08 09:52:00,2024-11-08 09:52:15,SHORT,NQ,ES,21206.0,21219.25,21131.0,21219.25,2024-11-08 09:53:15,SL,False,,13.25,1.32,-13.25,-1.325,15:52:15,15:53:15,2024-11,dbfull,-1.325
6,2024-11-12,2024-11-12 09:32:00,2024-11-12 09:32:15,SHORT,NQ,ES,21185.5,21215.5,21110.5,21215.5,2024-11-12 09:35:00,SL,False,,30.0,3.0,-30.0,-3.0,15:32:15,15:35:00,2024-11,dbfull,-4.325
8,2024-11-13,2024-11-13 09:40:15,2024-11-13 09:40:30,SHORT,NQ,NQ,21146.25,21164.5,21071.25,21164.5,2024-11-13 09:41:30,SL,False,,18.25,1.82,-18.25,-1.825,15:40:30,15:41:30,2024-11,dbfull,-6.15
10,2024-11-15,2024-11-15 09:44:45,2024-11-15 09:45:00,SHORT,NQ,ES,20693.75,20730.0,20618.75,20730.0,2024-11-15 09:49:15,SL,False,,36.25,3.62,-36.25,-3.625,15:45:00,15:49:15,2024-11,dbfull,-9.775
11,2024-11-18,2024-11-18 09:30:00,2024-11-18 09:30:00,SHORT,NQ,ES,20546.75,20568.75,20471.75,20546.75,2024-11-18 09:37:15,BE,True,2024-11-18 09:30:15,22.0,2.2,-0.0,-0.0,15:30:00,15:37:15,2024-11,dbfull,-9.775
13,2024-11-18,2024-11-18 09:48:00,2024-11-18 09:48:00,SHORT,NQ,NQ,20517.0,20536.75,20442.0,20536.75,2024-11-18 10:00:30,SL,False,,19.75,1.98,-19.75,-1.975,15:48:00,16:00:30,2024-11,dbfull,-11.75
16,2024-11-25,2024-11-25 09:30:00,2024-11-25 09:30:00,SHORT,NQ,NQ,20993.75,21022.0,20918.75,20993.75,2024-11-25 09:32:45,BE,True,2024-11-25 09:30:30,28.25,2.83,-0.0,-0.0,15:30:00,15:32:45,2024-11,dbfull,-11.75
17,2024-11-25,2024-11-25 09:45:00,2024-11-25 09:45:30,SHORT,NQ,NQ,21061.0,21081.0,20986.0,20986.0,2024-11-25 09:51:30,TP,True,2024-11-25 09:48:00,20.0,2.0,75.0,7.5,15:45:30,15:51:30,2024-11,dbfull,-4.25
18,2024-11-26,2024-11-26 09:40:15,2024-11-26 09:40:30,SHORT,NQ,NQ,20979.0,21002.25,20904.0,20979.0,2024-11-26 09:42:30,BE,True,2024-11-26 09:41:15,23.25,2.33,-0.0,-0.0,15:40:30,15:42:30,2024-11,dbfull,-4.25
22,2024-11-29,2024-11-29 09:34:30,2024-11-29 09:35:00,SHORT,NQ,ES,20812.5,20839.5,20737.5,20839.5,2024-11-29 09:36:30,SL,False,,27.0,2.7,-27.0,-2.7,15:35:00,15:36:30,2024-11,dbfull,-6.95
24,2024-12-04,2024-12-04 09:30:00,2024-12-04 09:30:00,SHORT,NQ,NQ,21414.75,21429.75,21339.75,21429.75,2024-12-04 09:30:30,SL,False,,15.0,1.5,-15.0,-1.5,15:30:00,15:30:30,2024-12,dbfull,-8.45
28,2024-12-05,2024-12-05 09:33:00,2024-12-05 09:33:15,SHORT,NQ,NQ,21533.5,21550.0,21458.5,21550.0,2024-12-05 09:35:30,SL,False,,16.5,1.65,-16.5,-1.65,15:33:15,15:35:30,2024-12,dbfull,-10.1
30,2024-12-09,2024-12-09 09:30:00,2024-12-09 09:30:00,SHORT,NQ,NQ,21610.75,21619.0,21535.75,21610.75,2024-12-09 09:31:15,BE,True,2024-12-09 09:30:15,8.25,0.82,-0.0,-0.0,15:30:00,15:31:15,2024-12,dbfull,-10.1
32,2024-12-11,2024-12-11 09:56:00,2024-12-11 09:56:00,SHORT,NQ,ES,21673.0,21697.0,21598.0,21697.0,2024-12-11 10:00:00,SL,False,,24.0,2.4,-24.0,-2.4,15:56:00,16:00:00,2024-12,dbfull,-12.5
38,2024-12-17,2024-12-17 09:37:00,2024-12-17 09:37:15,SHORT,NQ,NQ,22291.0,22315.0,22216.0,22291.0,2024-12-17 09:37:45,BE,True,2024-12-17 09:37:30,24.0,2.4,-0.0,-0.0,15:37:15,15:37:45,2024-12,dbfull,-12.5
