id,day,hit_t,entry_t,side,asset,trigger_asset,entry,stop,tp,exit,exit_t,reason,moved_be,be_t,stop_dist,risk_R,pts,R,t,x,mnd
1,2024-11-08,2024-11-08 09:38:00,2024-11-08 09:38:00,SHORT,NQ,NQ,21213.25,21230.25,21138.25,21213.25,2024-11-08 09:47:30,BE,True,2024-11-08 09:45:00,17.0,1.7,-0.0,-0.0,15:38:00,15:47:30,2024-11
2,2024-11-08,2024-11-08 09:52:00,2024-11-08 09:52:15,SHORT,NQ,ES,21206.0,21219.25,21131.0,21219.25,2024-11-08 09:53:15,SL,False,,13.25,1.32,-13.25,-1.325,15:52:15,15:53:15,2024-11
5,2024-11-13,2024-11-13 09:46:00,2024-11-13 09:46:15,SHORT,NQ,NQ,21158.0,21179.25,21083.0,21158.0,2024-11-13 09:52:00,BE,True,2024-11-13 09:49:15,21.25,2.12,-0.0,-0.0,15:46:15,15:52:00,2024-11
7,2024-11-15,2024-11-15 09:44:45,2024-11-15 09:45:00,SHORT,NQ,ES,20693.75,20730.0,20618.75,20730.0,2024-11-15 09:49:15,SL,False,,36.25,3.62,-36.25,-3.625,15:45:00,15:49:15,2024-11
8,2024-11-18,2024-11-18 09:45:00,2024-11-18 09:45:30,SHORT,NQ,NQ,20535.0,20552.0,20460.0,20535.0,2024-11-18 10:00:30,BE,True,2024-11-18 09:46:30,17.0,1.7,-0.0,-0.0,15:45:30,16:00:30,2024-11
10,2024-11-25,2024-11-25 09:45:00,2024-11-25 09:45:30,SHORT,NQ,NQ,21061.0,21081.0,20986.0,20986.0,2024-11-25 09:51:30,TP,True,2024-11-25 09:48:00,20.0,2.0,75.0,7.5,15:45:30,15:51:30,2024-11
11,2024-11-26,2024-11-26 09:40:15,2024-11-26 09:40:30,SHORT,NQ,NQ,20979.0,21002.25,20904.0,20979.0,2024-11-26 09:42:30,BE,True,2024-11-26 09:41:15,23.25,2.33,-0.0,-0.0,15:40:30,15:42:30,2024-11
15,2024-11-29,2024-11-29 09:34:30,2024-11-29 09:35:00,SHORT,NQ,ES,20812.5,20839.5,20737.5,20839.5,2024-11-29 09:36:30,SL,False,,27.0,2.7,-27.0,-2.7,15:35:00,15:36:30,2024-11
21,2024-12-11,2024-12-11 09:56:00,2024-12-11 09:56:00,SHORT,NQ,ES,21673.0,21697.0,21598.0,21697.0,2024-12-11 10:00:00,SL,False,,24.0,2.4,-24.0,-2.4,15:56:00,16:00:00,2024-12
26,2024-12-17,2024-12-17 09:37:00,2024-12-17 09:37:15,SHORT,NQ,NQ,22291.0,22315.0,22216.0,22291.0,2024-12-17 09:37:45,BE,True,2024-12-17 09:37:30,24.0,2.4,-0.0,-0.0,15:37:15,15:37:45,2024-12
27,2024-12-17,2024-12-17 09:50:00,2024-12-17 09:50:45,SHORT,NQ,NQ,22330.5,22358.75,22255.5,22255.5,2024-12-17 10:20:15,TP,True,2024-12-17 10:00:30,28.25,2.83,75.0,7.5,15:50:45,16:20:15,2024-12
29,2024-12-23,2024-12-23 09:37:00,2024-12-23 09:37:30,SHORT,NQ,NQ,21636.5,21675.5,21561.5,21636.5,2024-12-23 09:45:30,BE,True,2024-12-23 09:44:30,39.0,3.9,-0.0,-0.0,15:37:30,15:45:30,2024-12
31,2024-12-26,2024-12-26 09:40:30,2024-12-26 09:40:45,SHORT,NQ,NQ,21989.5,22007.75,21914.5,21914.5,2024-12-26 09:53:15,TP,True,2024-12-26 09:49:00,18.25,1.82,75.0,7.5,15:40:45,15:53:15,2024-12
1,2025-01-06,2025-01-06 09:51:30,2025-01-06 09:51:45,SHORT,NQ,NQ,21819.0,21839.25,21744.0,21839.25,2025-01-06 09:53:00,SL,False,,20.25,2.02,-20.25,-2.025,15:51:45,15:53:00,2025-01
3,2025-01-08,2025-01-08 09:36:00,2025-01-08 09:36:00,SHORT,NQ,ES,21350.5,21384.75,21275.5,21350.5,2025-01-08 09:42:15,BE,True,2025-01-08 09:38:30,34.25,3.42,-0.0,-0.0,15:36:00,15:42:15,2025-01
5,2025-01-14,2025-01-14 09:46:30,2025-01-14 09:46:45,SHORT,NQ,NQ,21081.5,21115.5,21006.5,21006.5,2025-01-14 09:53:45,TP,True,2025-01-14 09:47:00,34.0,3.4,75.0,7.5,15:46:45,15:53:45,2025-01
6,2025-01-15,2025-01-15 09:53:15,2025-01-15 09:53:30,SHORT,NQ,NQ,21312.75,21341.75,21237.75,21341.75,2025-01-15 10:00:00,SL,False,,29.0,2.9,-29.0,-2.9,15:53:30,16:00:00,2025-01
7,2025-01-16,2025-01-16 09:37:00,2025-01-16 09:37:00,SHORT,NQ,NQ,21429.0,21450.5,21354.0,21450.5,2025-01-16 09:39:45,SL,False,,21.5,2.15,-21.5,-2.15,15:37:00,15:39:45,2025-01
9,2025-01-20,2025-01-20 09:39:45,2025-01-20 09:40:00,SHORT,NQ,ES,21737.5,21753.5,21662.5,21753.5,2025-01-20 09:40:45,SL,False,,16.0,1.6,-16.0,-1.6,15:40:00,15:40:45,2025-01
10,2025-01-20,2025-01-20 09:46:00,2025-01-20 09:46:00,SHORT,NQ,NQ,21762.0,21776.0,21687.0,21687.0,2025-01-20 10:21:30,TP,True,2025-01-20 09:57:30,14.0,1.4,75.0,7.5,15:46:00,16:21:30,2025-01
12,2025-01-22,2025-01-22 09:42:45,2025-01-22 09:43:00,SHORT,NQ,NQ,21944.0,21969.0,21869.0,21969.0,2025-01-22 09:45:30,SL,False,,25.0,2.5,-25.0,-2.5,15:43:00,15:45:30,2025-01
13,2025-01-23,2025-01-23 09:42:00,2025-01-23 09:42:00,SHORT,NQ,NQ,21894.5,21912.75,21819.5,21912.75,2025-01-23 09:44:00,SL,False,,18.25,1.82,-18.25,-1.825,15:42:00,15:44:00,2025-01
14,2025-01-23,2025-01-23 09:53:00,2025-01-23 09:53:00,SHORT,NQ,ES,21897.75,21918.0,21822.75,21918.0,2025-01-23 10:34:15,SL,False,,20.25,2.02,-20.25,-2.025,15:53:00,16:34:15,2025-01
15,2025-01-24,2025-01-24 09:44:00,2025-01-24 09:44:30,SHORT,NQ,ES,22027.0,22042.5,21952.0,22042.5,2025-01-24 09:45:00,SL,False,,15.5,1.55,-15.5,-1.55,15:44:30,15:45:00,2025-01
17,2025-02-03,2025-02-03 09:45:00,2025-02-03 09:45:00,SHORT,NQ,NQ,21250.75,21279.25,21175.75,21175.75,2025-02-03 09:53:45,TP,True,2025-02-03 09:46:45,28.5,2.85,75.0,7.5,15:45:00,15:53:45,2025-02
18,2025-02-05,2025-02-05 09:40:30,2025-02-05 09:40:45,SHORT,NQ,ES,21566.5,21588.0,21491.5,21588.0,2025-02-05 09:48:30,SL,False,,21.5,2.15,-21.5,-2.15,15:40:45,15:48:30,2025-02
19,2025-02-06,2025-02-06 09:42:00,2025-02-06 09:42:45,SHORT,NQ,NQ,21762.75,21774.5,21687.75,21774.5,2025-02-06 09:44:15,SL,False,,11.75,1.18,-11.75,-1.175,15:42:45,15:44:15,2025-02
20,2025-02-06,2025-02-06 09:56:30,2025-02-06 09:56:30,SHORT,NQ,ES,21792.75,21818.5,21717.75,21792.75,2025-02-06 10:00:30,BE,True,2025-02-06 09:59:00,25.75,2.58,-0.0,-0.0,15:56:30,16:00:30,2025-02
21,2025-02-12,2025-02-12 09:58:00,2025-02-12 09:58:00,SHORT,NQ,NQ,21671.25,21681.25,21596.25,21681.25,2025-02-12 09:58:30,SL,False,,10.0,1.0,-10.0,-1.0,15:58:00,15:58:30,2025-02
24,2025-02-18,2025-02-18 09:59:30,2025-02-18 09:59:45,SHORT,NQ,NQ,22202.5,22224.75,22127.5,22202.5,2025-02-18 10:13:00,BE,True,2025-02-18 10:01:30,22.25,2.23,-0.0,-0.0,15:59:45,16:13:00,2025-02
29,2025-02-28,2025-02-28 09:50:30,2025-02-28 09:50:45,SHORT,NQ,NQ,20590.75,20620.75,20515.75,20620.75,2025-02-28 09:51:15,SL,False,,30.0,3.0,-30.0,-3.0,15:50:45,15:51:15,2025-02
31,2025-03-06,2025-03-06 09:57:00,2025-03-06 09:57:00,SHORT,NQ,NQ,20269.0,20308.0,20194.0,20308.0,2025-03-06 10:00:45,SL,False,,39.0,3.9,-39.0,-3.9,15:57:00,16:00:45,2025-03
33,2025-03-14,2025-03-14 09:52:00,2025-03-14 09:52:00,SHORT,NQ,ES,19594.0,19620.75,19519.0,19519.0,2025-03-14 10:00:00,TP,True,2025-03-14 09:57:15,26.75,2.67,75.0,7.5,14:52:00,15:00:00,2025-03
34,2025-03-19,2025-03-19 09:35:00,2025-03-19 09:35:15,SHORT,NQ,ES,19778.75,19814.0,19703.75,19778.75,2025-03-19 09:38:15,BE,True,2025-03-19 09:36:00,35.25,3.52,-0.0,-0.0,14:35:15,14:38:15,2025-03
39,2025-03-26,2025-03-26 09:42:15,2025-03-26 09:42:30,SHORT,NQ,NQ,20439.75,20465.0,20364.75,20439.75,2025-03-26 09:43:45,BE,True,2025-03-26 09:43:30,25.25,2.52,-0.0,-0.0,14:42:30,14:43:45,2025-03
42,2025-04-17,2025-04-17 09:57:15,2025-04-17 09:57:15,SHORT,NQ,ES,18444.75,18482.0,18369.75,18444.75,2025-04-17 09:58:15,BE,True,2025-04-17 09:58:00,37.25,3.73,-0.0,-0.0,15:57:15,15:58:15,2025-04
43,2025-04-21,2025-04-21 09:43:00,2025-04-21 09:43:00,SHORT,NQ,NQ,18091.75,18113.5,18016.75,18091.75,2025-04-21 09:48:45,BE,True,2025-04-21 09:47:00,21.75,2.17,-0.0,-0.0,15:43:00,15:48:45,2025-04
46,2025-04-29,2025-04-29 09:38:00,2025-04-29 09:38:15,SHORT,NQ,NQ,19421.5,19444.5,19346.5,19421.5,2025-04-29 09:39:15,BE,True,2025-04-29 09:38:30,23.0,2.3,-0.0,-0.0,15:38:15,15:39:15,2025-04
47,2025-04-29,2025-04-29 09:52:00,2025-04-29 09:52:15,SHORT,NQ,ES,19498.0,19530.5,19423.0,19498.0,2025-04-29 10:00:15,BE,True,2025-04-29 10:00:00,32.5,3.25,-0.0,-0.0,15:52:15,16:00:15,2025-04
48,2025-05-01,2025-05-01 09:35:00,2025-05-01 09:35:00,SHORT,NQ,NQ,19933.75,19953.0,19858.75,19953.0,2025-05-01 09:36:45,SL,False,,19.25,1.93,-19.25,-1.925,15:35:00,15:36:45,2025-05
49,2025-05-02,2025-05-02 09:35:00,2025-05-02 09:35:15,SHORT,NQ,NQ,20075.5,20111.0,20000.5,20075.5,2025-05-02 09:35:45,BE,True,2025-05-02 09:35:30,35.5,3.55,-0.0,-0.0,15:35:15,15:35:45,2025-05
51,2025-05-06,2025-05-06 09:45:00,2025-05-06 09:45:00,SHORT,NQ,ES,19845.5,19864.0,19770.5,19770.5,2025-05-06 09:51:00,TP,True,2025-05-06 09:46:00,18.5,1.85,75.0,7.5,15:45:00,15:51:00,2025-05
52,2025-05-07,2025-05-07 09:35:00,2025-05-07 09:35:15,SHORT,NQ,NQ,19881.5,19909.5,19806.5,19909.5,2025-05-07 09:40:30,SL,False,,28.0,2.8,-28.0,-2.8,15:35:15,15:40:30,2025-05
54,2025-05-09,2025-05-09 09:39:00,2025-05-09 09:39:00,SHORT,NQ,NQ,20266.25,20279.75,20191.25,20266.25,2025-05-09 10:03:00,BE,True,2025-05-09 09:44:00,13.5,1.35,-0.0,-0.0,15:39:00,16:03:00,2025-05
55,2025-05-14,2025-05-14 09:40:00,2025-05-14 09:40:15,SHORT,NQ,NQ,21370.0,21387.0,21295.0,21370.0,2025-05-14 09:42:15,BE,True,2025-05-14 09:40:30,17.0,1.7,-0.0,-0.0,15:40:15,15:42:15,2025-05
56,2025-05-14,2025-05-14 09:53:30,2025-05-14 09:53:30,SHORT,NQ,NQ,21300.0,21330.5,21225.0,21300.0,2025-05-14 09:57:00,BE,True,2025-05-14 09:56:00,30.5,3.05,-0.0,-0.0,15:53:30,15:57:00,2025-05
57,2025-05-15,2025-05-15 09:39:00,2025-05-15 09:39:15,SHORT,NQ,ES,21301.0,21323.5,21226.0,21301.0,2025-05-15 09:41:00,BE,True,2025-05-15 09:40:15,22.5,2.25,-0.0,-0.0,15:39:15,15:41:00,2025-05
