id,day,hit_t,entry_t,side,asset,trigger_asset,entry,stop,tp,exit,exit_t,reason,moved_be,be_t,stop_dist,risk_R,pts,R,entry_es,stop_es,tp_es,exit_es,reason_es,R_es,t,x,mnd,kilde,akk,akk_es
1,2024-11-08,2024-11-08 09:38:00,2024-11-08 09:38:00,SHORT,NQ,NQ,21213.25,21230.25,21138.25,21213.25,2024-11-08 09:47:30,BE,True,2024-11-08 09:45:00,17.0,1.7,-0.0,-0.0,6008.25,6011.25,5993.25,6011.25,SL,-1.5,15:38:00,15:47:30,2024-11,dbfull,-0.0,-1.5
2,2024-11-08,2024-11-08 09:52:00,2024-11-08 09:52:15,SHORT,NQ,ES,21206.0,21219.25,21131.0,21219.25,2024-11-08 09:53:15,SL,False,,13.25,1.32,-13.25,-1.325,6011.25,6013.25,5996.25,6013.25,SL,-1.0,15:52:15,15:53:15,2024-11,dbfull,-1.325,-2.5
3,2024-11-12,2024-11-12 09:32:00,2024-11-12 09:32:15,SHORT,NQ,ES,21185.5,21215.5,21110.5,21215.5,2024-11-12 09:35:00,SL,False,,30.0,3.0,-30.0,-3.0,6027.75,6032.0,6012.75,6032.0,SL,-2.125,15:32:15,15:35:00,2024-11,dbfull,-4.325,-4.625
4,2024-11-12,2024-11-12 09:46:00,2024-11-12 09:46:00,SHORT,NQ,NQ,21208.25,21219.75,21133.25,21208.25,2024-11-12 09:47:00,BE,True,2024-11-12 09:46:30,11.5,1.15,-0.0,-0.0,6032.0,6034.5,6017.0,6017.0,TP,7.5,15:46:00,15:47:00,2024-11,dbfull,-4.325,2.875
5,2024-11-13,2024-11-13 09:40:15,2024-11-13 09:40:30,SHORT,NQ,NQ,21146.25,21164.5,21071.25,21164.5,2024-11-13 09:41:30,SL,False,,18.25,1.82,-18.25,-1.825,6013.5,6017.25,5998.5,6017.25,SL,-1.875,15:40:30,15:41:30,2024-11,dbfull,-6.15,1.0
6,2024-11-13,2024-11-13 09:46:00,2024-11-13 09:46:15,SHORT,NQ,NQ,21158.0,21179.25,21083.0,21158.0,2024-11-13 09:52:00,BE,True,2024-11-13 09:49:15,21.25,2.12,-0.0,-0.0,6015.75,6019.75,6000.75,6000.75,TP,7.5,15:46:15,15:52:00,2024-11,dbfull,-6.15,8.5
7,2024-11-15,2024-11-15 09:44:45,2024-11-15 09:45:00,SHORT,NQ,ES,20693.75,20730.0,20618.75,20730.0,2024-11-15 09:49:15,SL,False,,36.25,3.62,-36.25,-3.625,5931.0,5937.0,5916.0,5937.0,SL,-3.0,15:45:00,15:49:15,2024-11,dbfull,-9.775,5.5
8,2024-11-15,2024-11-15 09:53:30,2024-11-15 09:53:45,SHORT,NQ,ES,20724.25,20745.25,20649.25,20649.25,2024-11-15 10:09:00,TP,True,2024-11-15 09:58:15,21.0,2.1,75.0,7.5,5934.75,5937.25,5919.75,5919.75,TP,7.5,15:53:45,16:09:00,2024-11,dbfull,-2.2750000000000004,13.0
9,2024-11-18,2024-11-18 09:30:00,2024-11-18 09:30:00,SHORT,NQ,ES,20546.75,20568.75,20471.75,20546.75,2024-11-18 09:37:15,BE,True,2024-11-18 09:30:15,22.0,2.2,-0.0,-0.0,5898.75,5902.0,5883.75,5898.75,BE,-0.0,15:30:00,15:37:15,2024-11,dbfull,-2.2750000000000004,13.0
10,2024-11-18,2024-11-18 09:45:00,2024-11-18 09:45:30,SHORT,NQ,NQ,20535.0,20552.0,20460.0,20535.0,2024-11-18 10:00:30,BE,True,2024-11-18 09:46:30,17.0,1.7,-0.0,-0.0,5898.25,5901.5,5883.25,5898.25,BE,-0.0,15:45:30,16:00:30,2024-11,dbfull,-2.2750000000000004,13.0
11,2024-11-25,2024-11-25 09:30:00,2024-11-25 09:30:00,SHORT,NQ,NQ,20993.75,21022.0,20918.75,20993.75,2024-11-25 09:32:45,BE,True,2024-11-25 09:30:30,28.25,2.83,-0.0,-0.0,6023.5,6030.25,6008.5,6023.5,BE,-0.0,15:30:00,15:32:45,2024-11,dbfull,-2.2750000000000004,13.0
12,2024-11-25,2024-11-25 09:45:00,2024-11-25 09:45:30,SHORT,NQ,NQ,21061.0,21081.0,20986.0,20986.0,2024-11-25 09:51:30,TP,True,2024-11-25 09:48:00,20.0,2.0,75.0,7.5,6036.5,6039.5,6021.5,6021.5,TP,7.5,15:45:30,15:51:30,2024-11,dbfull,5.225,20.5
