id,day,hit_t,entry_t,side,asset,trigger_asset,entry,stop,tp,exit,exit_t,reason,moved_be,be_t,stop_dist,risk_R,pts,R,mnd
1,2024-11-08,2024-11-08 09:31:00,2024-11-08 09:31:15,LONG,NQ,ES,21214.0,21185.5,21289.0,21214.0,2024-11-08 09:34:15,BE,True,2024-11-08 09:33:00,28.5,2.85,0.0,0.0,2024-11
2,2024-11-08,2024-11-08 09:38:00,2024-11-08 09:38:00,SHORT,NQ,NQ,21213.25,21230.25,21138.25,21213.25,2024-11-08 09:47:30,BE,True,2024-11-08 09:45:00,17.0,1.7,-0.0,-0.0,2024-11
3,2024-11-08,2024-11-08 09:52:00,2024-11-08 09:52:15,SHORT,NQ,ES,21206.0,21219.25,21131.0,21219.25,2024-11-08 09:53:15,SL,False,,13.25,1.32,-13.25,-1.325,2024-11
4,2024-11-08,2024-11-08 09:55:00,2024-11-08 09:55:00,LONG,NQ,ES,21220.25,21182.5,21295.25,21182.5,2024-11-08 10:05:15,SL,False,,37.75,3.77,-37.75,-3.775,2024-11
5,2024-11-11,2024-11-11 09:32:00,2024-11-11 09:32:00,LONG,NQ,ES,21285.5,21271.5,21360.5,21271.5,2024-11-11 09:32:15,SL,False,,14.0,1.4,-14.0,-1.4,2024-11
6,2024-11-12,2024-11-12 09:32:00,2024-11-12 09:32:15,SHORT,NQ,ES,21185.5,21215.5,21110.5,21215.5,2024-11-12 09:35:00,SL,False,,30.0,3.0,-30.0,-3.0,2024-11
7,2024-11-13,2024-11-13 09:33:00,2024-11-13 09:33:15,LONG,NQ,NQ,21171.25,21150.25,21246.25,21150.25,2024-11-13 09:37:30,SL,False,,21.0,2.1,-21.0,-2.1,2024-11
8,2024-11-13,2024-11-13 09:40:15,2024-11-13 09:40:30,SHORT,NQ,NQ,21146.25,21164.5,21071.25,21164.5,2024-11-13 09:41:30,SL,False,,18.25,1.82,-18.25,-1.825,2024-11
9,2024-11-14,2024-11-14 09:31:15,2024-11-14 09:31:30,LONG,NQ,NQ,21152.5,21129.75,21227.5,21152.5,2024-11-14 09:38:15,BE,True,2024-11-14 09:37:30,22.75,2.27,0.0,0.0,2024-11
10,2024-11-15,2024-11-15 09:44:45,2024-11-15 09:45:00,SHORT,NQ,ES,20693.75,20730.0,20618.75,20730.0,2024-11-15 09:49:15,SL,False,,36.25,3.62,-36.25,-3.625,2024-11
11,2024-11-18,2024-11-18 09:30:00,2024-11-18 09:30:00,SHORT,NQ,ES,20546.75,20568.75,20471.75,20546.75,2024-11-18 09:37:15,BE,True,2024-11-18 09:30:15,22.0,2.2,-0.0,-0.0,2024-11
12,2024-11-18,2024-11-18 09:39:00,2024-11-18 09:39:15,LONG,NQ,NQ,20559.5,20539.25,20634.5,20539.25,2024-11-18 09:42:45,SL,False,,20.25,2.02,-20.25,-2.025,2024-11
13,2024-11-18,2024-11-18 09:48:00,2024-11-18 09:48:00,SHORT,NQ,NQ,20517.0,20536.75,20442.0,20536.75,2024-11-18 10:00:30,SL,False,,19.75,1.98,-19.75,-1.975,2024-11
14,2024-11-19,2024-11-19 09:30:00,2024-11-19 09:30:00,LONG,NQ,NQ,20532.0,20512.25,20607.0,20532.0,2024-11-19 09:32:15,BE,True,2024-11-19 09:31:30,19.75,1.98,0.0,0.0,2024-11
15,2024-11-22,2024-11-22 09:55:00,2024-11-22 09:55:15,LONG,NQ,NQ,20817.75,20798.25,20892.75,20817.75,2024-11-22 10:03:45,BE,True,2024-11-22 09:58:30,19.5,1.95,0.0,0.0,2024-11
16,2024-11-25,2024-11-25 09:30:00,2024-11-25 09:30:00,SHORT,NQ,NQ,20993.75,21022.0,20918.75,20993.75,2024-11-25 09:32:45,BE,True,2024-11-25 09:30:30,28.25,2.83,-0.0,-0.0,2024-11
17,2024-11-25,2024-11-25 09:45:00,2024-11-25 09:45:30,SHORT,NQ,NQ,21061.0,21081.0,20986.0,20986.0,2024-11-25 09:51:30,TP,True,2024-11-25 09:48:00,20.0,2.0,75.0,7.5,2024-11
18,2024-11-26,2024-11-26 09:40:15,2024-11-26 09:40:30,SHORT,NQ,NQ,20979.0,21002.25,20904.0,20979.0,2024-11-26 09:42:30,BE,True,2024-11-26 09:41:15,23.25,2.33,-0.0,-0.0,2024-11
19,2024-11-27,2024-11-27 09:42:00,2024-11-27 09:42:00,LONG,NQ,NQ,20881.75,20868.25,20956.75,20881.75,2024-11-27 09:44:15,BE,True,2024-11-27 09:44:00,13.5,1.35,0.0,0.0,2024-11
20,2024-11-27,2024-11-27 09:56:00,2024-11-27 09:56:00,LONG,NQ,NQ,20850.0,20839.0,20925.0,20839.0,2024-11-27 10:01:15,SL,False,,11.0,1.1,-11.0,-1.1,2024-11
21,2024-11-28,2024-11-28 09:43:30,2024-11-28 09:44:00,LONG,NQ,ES,20885.0,20874.5,20960.0,20885.0,2024-11-28 09:47:00,BE,True,2024-11-28 09:45:45,10.5,1.05,0.0,0.0,2024-11
22,2024-11-29,2024-11-29 09:34:30,2024-11-29 09:35:00,SHORT,NQ,ES,20812.5,20839.5,20737.5,20839.5,2024-11-29 09:36:30,SL,False,,27.0,2.7,-27.0,-2.7,2024-11
23,2024-12-03,2024-12-03 09:45:00,2024-12-03 09:45:00,LONG,NQ,ES,21195.75,21175.25,21270.75,21195.75,2024-12-03 09:46:30,BE,True,2024-12-03 09:45:15,20.5,2.05,0.0,0.0,2024-12
24,2024-12-04,2024-12-04 09:30:00,2024-12-04 09:30:00,SHORT,NQ,NQ,21414.75,21429.75,21339.75,21429.75,2024-12-04 09:30:30,SL,False,,15.0,1.5,-15.0,-1.5,2024-12
25,2024-12-04,2024-12-04 09:33:15,2024-12-04 09:33:30,LONG,NQ,ES,21429.25,21401.25,21504.25,21429.25,2024-12-04 09:34:15,BE,True,2024-12-04 09:34:00,28.0,2.8,0.0,0.0,2024-12
26,2024-12-04,2024-12-04 09:39:00,2024-12-04 09:39:00,LONG,NQ,NQ,21406.75,21397.0,21481.75,21397.0,2024-12-04 09:39:30,SL,False,,9.75,0.97,-9.75,-0.975,2024-12
27,2024-12-04,2024-12-04 09:45:00,2024-12-04 09:45:00,LONG,NQ,NQ,21419.25,21400.5,21494.25,21400.5,2024-12-04 10:00:00,SL,False,,18.75,1.88,-18.75,-1.875,2024-12
28,2024-12-05,2024-12-05 09:33:00,2024-12-05 09:33:15,SHORT,NQ,NQ,21533.5,21550.0,21458.5,21550.0,2024-12-05 09:35:30,SL,False,,16.5,1.65,-16.5,-1.65,2024-12
29,2024-12-05,2024-12-05 09:44:00,2024-12-05 09:44:45,LONG,NQ,ES,21533.75,21522.25,21608.75,21522.25,2024-12-05 09:49:45,SL,False,,11.5,1.15,-11.5,-1.15,2024-12
30,2024-12-09,2024-12-09 09:30:00,2024-12-09 09:30:00,SHORT,NQ,NQ,21610.75,21619.0,21535.75,21610.75,2024-12-09 09:31:15,BE,True,2024-12-09 09:30:15,8.25,0.82,-0.0,-0.0,2024-12
31,2024-12-09,2024-12-09 09:45:00,2024-12-09 09:45:00,LONG,NQ,NQ,21629.75,21616.75,21704.75,21629.75,2024-12-09 09:51:15,BE,True,2024-12-09 09:49:15,13.0,1.3,0.0,0.0,2024-12
32,2024-12-11,2024-12-11 09:56:00,2024-12-11 09:56:00,SHORT,NQ,ES,21673.0,21697.0,21598.0,21697.0,2024-12-11 10:00:00,SL,False,,24.0,2.4,-24.0,-2.4,2024-12
33,2024-12-12,2024-12-12 09:35:00,2024-12-12 09:35:00,LONG,NQ,ES,21683.5,21661.25,21758.5,21661.25,2024-12-12 09:36:00,SL,False,,22.25,2.23,-22.25,-2.225,2024-12
34,2024-12-12,2024-12-12 09:39:00,2024-12-12 09:39:00,LONG,NQ,ES,21689.5,21663.5,21764.5,21663.5,2024-12-12 09:50:00,SL,False,,26.0,2.6,-26.0,-2.6,2024-12
35,2024-12-16,2024-12-16 09:30:00,2024-12-16 09:30:00,LONG,NQ,ES,21907.75,21888.5,21982.75,21907.75,2024-12-16 09:31:45,BE,True,2024-12-16 09:30:15,19.25,1.93,0.0,0.0,2024-12
36,2024-12-16,2024-12-16 09:47:00,2024-12-16 09:47:30,LONG,NQ,NQ,21932.5,21921.25,22007.5,21921.25,2024-12-16 09:48:15,SL,False,,11.25,1.12,-11.25,-1.125,2024-12
37,2024-12-16,2024-12-16 09:49:00,2024-12-16 09:49:15,LONG,NQ,NQ,21934.0,21919.25,22009.0,21934.0,2024-12-16 10:21:00,BE,True,2024-12-16 09:53:15,14.75,1.48,0.0,0.0,2024-12
38,2024-12-17,2024-12-17 09:37:00,2024-12-17 09:37:15,SHORT,NQ,NQ,22291.0,22315.0,22216.0,22291.0,2024-12-17 09:37:45,BE,True,2024-12-17 09:37:30,24.0,2.4,-0.0,-0.0,2024-12
39,2024-12-17,2024-12-17 09:47:00,2024-12-17 09:47:15,LONG,NQ,NQ,22348.5,22310.5,22423.5,22310.5,2024-12-17 09:59:15,SL,False,,38.0,3.8,-38.0,-3.8,2024-12
40,2024-12-19,2024-12-19 09:58:00,2024-12-19 09:58:00,LONG,NQ,NQ,21593.5,21574.75,21668.5,21574.75,2024-12-19 09:58:45,SL,False,,18.75,1.88,-18.75,-1.875,2024-12
41,2024-12-23,2024-12-23 09:37:00,2024-12-23 09:37:30,SHORT,NQ,NQ,21636.5,21675.5,21561.5,21636.5,2024-12-23 09:45:30,BE,True,2024-12-23 09:44:30,39.0,3.9,-0.0,-0.0,2024-12
42,2024-12-24,2024-12-24 09:39:45,2024-12-24 09:40:00,LONG,NQ,NQ,21849.0,21822.25,21924.0,21924.0,2024-12-24 10:01:15,TP,False,,26.75,2.67,75.0,7.5,2024-12
43,2024-12-26,2024-12-26 09:30:15,2024-12-26 09:30:30,LONG,NQ,NQ,21979.5,21955.0,22054.5,21979.5,2024-12-26 09:43:30,BE,True,2024-12-26 09:37:00,24.5,2.45,0.0,0.0,2024-12
44,2024-12-26,2024-12-26 09:44:00,2024-12-26 09:44:15,SHORT,NQ,ES,21978.5,21994.25,21903.5,21903.5,2024-12-26 09:53:15,TP,True,2024-12-26 09:49:00,15.75,1.57,75.0,7.5,2024-12
