id,day,hit_t,entry_t,side,asset,trigger_asset,entry,stop,tp,exit,exit_t,reason,moved_be,be_t,stop_dist,risk_R,pts,R,t,x
1,2026-01-02,2026-01-02 09:42:15,2026-01-02 09:42:30,LONG,ES,ES,6914.0,6911.75,6929.0,6929.0,2026-01-02 09:47:15,TP,True,2026-01-02 09:45:00,2.25,1.12,15.0,7.5,15:42,15:47
1,2026-01-02,2026-01-02 09:42:15,2026-01-02 09:42:30,LONG,NQ,ES,25660.25,25638.25,25735.25,25735.25,2026-01-02 09:47:15,TP,True,2026-01-02 09:45:00,22.0,2.2,75.0,7.5,15:42,15:47
2,2026-01-05,2026-01-05 09:30:00,2026-01-05 09:30:00,LONG,ES,NQ,6941.25,6931.0,6956.25,6941.25,2026-01-05 09:42:45,BE,True,2026-01-05 09:42:30,10.25,5.12,0.0,0.0,15:30,15:42
2,2026-01-05,2026-01-05 09:30:00,2026-01-05 09:30:00,LONG,NQ,NQ,25665.75,25621.25,25740.75,25621.25,2026-01-05 09:31:30,SL,False,,44.5,4.45,-44.5,-4.45,15:30,15:31
3,2026-01-05,2026-01-05 09:33:00,2026-01-05 09:33:30,SHORT,NQ,ES,25600.0,25665.25,25525.0,25600.0,2026-01-05 09:37:00,BE,True,2026-01-05 09:35:00,65.25,6.53,-0.0,-0.0,15:33,15:37
4,2026-01-05,2026-01-05 09:37:45,2026-01-05 09:37:45,LONG,NQ,NQ,25591.0,25550.5,25666.0,25550.5,2026-01-05 09:40:30,SL,False,,40.5,4.05,-40.5,-4.05,15:37,15:40
5,2026-01-05,2026-01-05 09:42:15,2026-01-05 09:43:00,LONG,ES,NQ,6941.25,6935.5,6956.25,6941.25,2026-01-05 09:43:30,BE,True,2026-01-05 09:43:15,5.75,2.88,0.0,0.0,15:43,15:43
6,2026-01-05,2026-01-05 09:47:00,2026-01-05 09:47:15,SHORT,ES,NQ,6943.75,6947.75,6928.75,6943.75,2026-01-05 10:00:00,BE,True,2026-01-05 09:50:30,4.0,2.0,-0.0,-0.0,15:47,16:00
7,2026-01-06,2026-01-06 09:30:00,2026-01-06 09:30:00,LONG,ES,NQ,6949.5,6945.25,6964.5,6964.5,2026-01-06 09:50:45,TP,True,2026-01-06 09:44:15,4.25,2.12,15.0,7.5,15:30,15:50
7,2026-01-06,2026-01-06 09:30:00,2026-01-06 09:30:00,LONG,NQ,NQ,25645.5,25629.5,25720.5,25629.5,2026-01-06 09:35:00,SL,False,,16.0,1.6,-16.0,-1.6,15:30,15:35
