dag,ind,ud,dir,R,be_kilde,kol_9nmy,kol_e0ph,kol_43ux,kol_u9v3,kol_8uid,kol_2f8s
2026-01-08,15:36,15:42,Short,0.0,5m,,,,,,
2026-01-08,15:42,15:47,Short,0.0,15m og 5m,Ja,,,7.5,,
2026-01-08,15:50,15:53,Short,-3.125,5m,Ligemeget,9.5,,,Ja,
2026-01-08,15:56,16:05,Long,0.0,5m,Ligemeget,4.5,,,,
2026-01-09,15:36,15:45,Long,0.0,15m og 5m,Ligemeget,2.5,,,,
2026-01-09,15:49,15:55,Short,-3.75,Ligegyldigt (SL),Ja,4.75,7.5,,,
2026-01-09,15:55,16:00,Short,-2.5,Ligegyldigt (SL),Ligemeget,6.25,5,,,
2026-01-13,15:32,15:33,Short,-2.75,Ligegyldigt (SL),Ligemeget,2,5.5,-2.9,,
2026-01-13,15:40,15:40,Long,0.0,5m,Ligemeget,1.75,4.25,0,,
2026-01-13,15:43,15:52,Short,7.5,5m,Ligemeget,5,2.5,7.5,,Ja
2026-01-14,15:40,15:41,Long,-2.5,5m,Ligemeget,8.25,5,-2.5,Ja,
2026-01-14,15:47,15:55,Long,-2.75,5m,Ligemeget,12.5,5.5,-2.4,Ja,
2026-01-15,15:31,15:44,Long,0.0,15m og 5m,Ligemeget (Priceaction),5.25,4.75,0,,
2026-01-15,15:47,15:54,Short,0.0,15m og 5m,Ligemeget (Priceaction),4.5,6,0,,
2026-01-15,15:58,15:59,Short,-1.75,15m og 5m,Ja,5.25,3.5,0,,
2026-01-16,15:33,15:37,Short,-1.625,5m,Nej,5,3.25,-3.75,,
2026-01-16,15:35,15:40,Long,-1.875,5m,Nej,2.75,3.75,-3.2,,
2026-01-16,15:42,15:46,Short,0.0,5m,Ligemeget (Priceaction),2,4.5,0,,
