id,day,hit_t,entry_t,side,asset,trigger_asset,entry,stop,tp,exit,exit_t,reason,moved_be,be_t,stop_dist,risk_R,pts,R,dag,t,x
3,2026-01-06,2026-01-06 10:09:15,2026-01-06 10:09:15,SHORT,NQ,ES,25738.5,25766.75,25663.5,25738.5,2026-01-06 10:10:30,BE,True,2026-01-06 10:10:15,28.25,2.83,-0.0,-0.0,2026-01-06,16:09,16:10
5,2026-01-07,2026-01-07 09:31:30,2026-01-07 09:32:15,SHORT,NQ,NQ,25780.75,25810.75,25705.75,25810.75,2026-01-07 09:33:00,SL,False,,30.0,3.0,-30.0,-3.0,2026-01-07,15:32,15:33
6,2026-01-08,2026-01-08 10:20:00,2026-01-08 10:20:30,SHORT,NQ,NQ,25684.25,25699.75,25609.25,25699.75,2026-01-08 10:24:15,SL,False,,15.5,1.55,-15.5,-1.55,2026-01-08,16:20,16:24
8,2026-01-12,2026-01-12 10:17:45,2026-01-12 10:17:45,SHORT,NQ,NQ,25895.0,25911.75,25820.0,25911.75,2026-01-12 10:20:15,SL,False,,16.75,1.68,-16.75,-1.675,2026-01-12,16:17,16:20
9,2026-01-12,2026-01-12 10:27:00,2026-01-12 10:27:15,SHORT,NQ,NQ,25916.25,25932.25,25841.25,25916.25,2026-01-12 10:59:00,BE,True,2026-01-12 10:30:30,16.0,1.6,-0.0,-0.0,2026-01-12,16:27,16:59
10,2026-01-13,2026-01-13 09:32:00,2026-01-13 09:32:15,SHORT,NQ,NQ,25946.0,25975.25,25871.0,25975.25,2026-01-13 09:34:15,SL,False,,29.25,2.92,-29.25,-2.925,2026-01-13,15:32,15:34
12,2026-01-14,2026-01-14 10:27:00,2026-01-14 10:27:00,SHORT,NQ,NQ,25658.5,25669.5,25583.5,25583.5,2026-01-14 10:31:00,TP,True,2026-01-14 10:28:00,11.0,1.1,75.0,7.5,2026-01-14,16:27,16:31
13,2026-01-15,2026-01-15 09:30:00,2026-01-15 09:30:15,SHORT,NQ,NQ,25913.5,25949.0,25838.5,25913.5,2026-01-15 09:44:00,BE,True,2026-01-15 09:35:00,35.5,3.55,-0.0,-0.0,2026-01-15,15:30,15:44
15,2026-01-15,2026-01-15 10:26:15,2026-01-15 10:27:00,SHORT,NQ,NQ,25871.0,25899.5,25796.0,25871.0,2026-01-15 10:30:30,BE,True,2026-01-15 10:28:15,28.5,2.85,-0.0,-0.0,2026-01-15,16:27,16:30
16,2026-01-16,2026-01-16 09:33:00,2026-01-16 09:33:15,SHORT,NQ,ES,25839.25,25876.5,25764.25,25876.5,2026-01-16 09:36:45,SL,False,,37.25,3.73,-37.25,-3.725,2026-01-16,15:33,15:36
