id,day,hit_t,entry_t,side,asset,trigger_asset,entry,stop,tp,exit,exit_t,reason,moved_be,be_t,stop_dist,risk_R,pts,R,dag,t,x
6,2025-01-08,2025-01-08 09:36:00,2025-01-08 09:36:00,SHORT,NQ,ES,21350.5,21384.75,21275.5,21350.5,2025-01-08 09:42:15,BE,True,2025-01-08 09:38:30,34.25,3.42,-0.0,-0.0,2025-01-08,15:36,15:42
8,2025-01-13,2025-01-13 09:42:00,2025-01-13 09:42:00,SHORT,NQ,ES,20706.25,20729.5,20631.25,20729.5,2025-01-13 09:43:00,SL,False,,23.25,2.33,-23.25,-2.325,2025-01-13,15:42,15:43
9,2025-01-14,2025-01-14 09:30:00,2025-01-14 09:30:00,SHORT,NQ,NQ,21047.25,21082.25,20972.25,21082.25,2025-01-14 09:35:30,SL,False,,35.0,3.5,-35.0,-3.5,2025-01-14,15:30,15:35
10,2025-01-15,2025-01-15 09:53:15,2025-01-15 09:53:30,SHORT,NQ,NQ,21312.75,21341.75,21237.75,21312.75,2025-01-15 09:56:00,BE,True,2025-01-15 09:55:00,29.0,2.9,-0.0,-0.0,2025-01-15,15:53,15:56
11,2025-01-16,2025-01-16 09:37:00,2025-01-16 09:37:00,SHORT,NQ,NQ,21429.0,21450.5,21354.0,21450.5,2025-01-16 09:39:45,SL,False,,21.5,2.15,-21.5,-2.15,2025-01-16,15:37,15:39
14,2025-01-20,2025-01-20 09:51:15,2025-01-20 09:51:15,SHORT,NQ,ES,21748.75,21770.0,21673.75,21770.0,2025-01-20 09:52:00,SL,False,,21.25,2.12,-21.25,-2.125,2025-01-20,15:51,15:52
17,2025-01-22,2025-01-22 09:42:45,2025-01-22 09:43:00,SHORT,NQ,NQ,21944.0,21969.0,21869.0,21969.0,2025-01-22 09:45:30,SL,False,,25.0,2.5,-25.0,-2.5,2025-01-22,15:43,15:45
19,2025-01-23,2025-01-23 09:42:00,2025-01-23 09:42:00,SHORT,NQ,NQ,21894.5,21912.75,21819.5,21912.75,2025-01-23 09:44:00,SL,False,,18.25,1.82,-18.25,-1.825,2025-01-23,15:42,15:44
20,2025-01-23,2025-01-23 09:53:00,2025-01-23 09:53:00,SHORT,NQ,ES,21897.75,21918.0,21822.75,21897.75,2025-01-23 09:59:00,BE,True,2025-01-23 09:55:45,20.25,2.02,-0.0,-0.0,2025-01-23,15:53,15:59
21,2025-01-24,2025-01-24 09:33:00,2025-01-24 09:33:00,SHORT,NQ,ES,22016.0,22044.25,21941.0,22016.0,2025-01-24 09:36:00,BE,True,2025-01-24 09:35:45,28.25,2.83,-0.0,-0.0,2025-01-24,15:33,15:36
22,2025-01-24,2025-01-24 09:44:00,2025-01-24 09:44:30,SHORT,NQ,ES,22027.0,22042.5,21952.0,22042.5,2025-01-24 09:45:00,SL,False,,15.5,1.55,-15.5,-1.55,2025-01-24,15:44,15:45
25,2025-02-03,2025-02-03 09:45:00,2025-02-03 09:45:00,SHORT,NQ,NQ,21250.75,21279.25,21175.75,21175.75,2025-02-03 09:53:45,TP,True,2025-02-03 09:50:30,28.5,2.85,75.0,7.5,2025-02-03,15:45,15:53
26,2025-02-05,2025-02-05 09:32:15,2025-02-05 09:32:30,SHORT,NQ,ES,21521.0,21550.25,21446.0,21550.25,2025-02-05 09:34:15,SL,False,,29.25,2.92,-29.25,-2.925,2025-02-05,15:32,15:34
28,2025-02-10,2025-02-10 09:33:00,2025-02-10 09:33:15,SHORT,NQ,NQ,21753.75,21769.75,21678.75,21769.75,2025-02-10 09:35:45,SL,False,,16.0,1.6,-16.0,-1.6,2025-02-10,15:33,15:35
30,2025-02-12,2025-02-12 09:58:00,2025-02-12 09:58:00,SHORT,NQ,NQ,21671.25,21681.25,21596.25,21681.25,2025-02-12 09:58:30,SL,False,,10.0,1.0,-10.0,-1.0,2025-02-12,15:58,15:58
33,2025-02-14,2025-02-14 09:32:00,2025-02-14 09:32:15,SHORT,NQ,ES,22108.25,22138.0,22033.25,22108.25,2025-02-14 09:38:30,BE,True,2025-02-14 09:36:30,29.75,2.98,-0.0,-0.0,2025-02-14,15:32,15:38
35,2025-02-18,2025-02-18 09:30:00,2025-02-18 09:30:15,SHORT,NQ,NQ,22248.0,22265.25,22173.0,22265.25,2025-02-18 09:33:45,SL,False,,17.25,1.73,-17.25,-1.725,2025-02-18,15:30,15:33
38,2025-02-19,2025-02-19 09:49:00,2025-02-19 09:49:15,SHORT,NQ,NQ,22169.0,22188.25,22094.0,22188.25,2025-02-19 09:53:15,SL,False,,19.25,1.93,-19.25,-1.925,2025-02-19,15:49,15:53
42,2025-02-25,2025-02-25 09:43:00,2025-02-25 09:43:00,SHORT,NQ,ES,21327.75,21364.5,21252.75,21327.75,2025-02-25 09:43:30,BE,True,2025-02-25 09:43:15,36.75,3.67,-0.0,-0.0,2025-02-25,15:43,15:43
44,2025-02-27,2025-02-27 09:34:00,2025-02-27 09:34:15,SHORT,NQ,NQ,21346.25,21369.25,21271.25,21369.25,2025-02-27 09:35:45,SL,False,,23.0,2.3,-23.0,-2.3,2025-02-27,15:34,15:35
45,2025-02-28,2025-02-28 09:50:30,2025-02-28 09:50:45,SHORT,NQ,NQ,20590.75,20620.75,20515.75,20620.75,2025-02-28 09:51:15,SL,False,,30.0,3.0,-30.0,-3.0,2025-02-28,15:50,15:51
46,2025-03-05,2025-03-05 09:33:15,2025-03-05 09:33:15,SHORT,NQ,NQ,20393.5,20431.0,20318.5,20431.0,2025-03-05 09:35:15,SL,False,,37.5,3.75,-37.5,-3.75,2025-03-05,15:33,15:35
48,2025-03-06,2025-03-06 09:57:00,2025-03-06 09:57:00,SHORT,NQ,NQ,20269.0,20308.0,20194.0,20269.0,2025-03-06 10:00:30,BE,True,2025-03-06 10:00:00,39.0,3.9,-0.0,-0.0,2025-03-06,15:57,16:00
51,2025-03-14,2025-03-14 09:52:00,2025-03-14 09:52:00,SHORT,NQ,ES,19594.0,19620.75,19519.0,19519.0,2025-03-14 10:00:00,TP,True,2025-03-14 09:57:00,26.75,2.67,75.0,7.5,2025-03-14,14:52,15:00
52,2025-03-18,2025-03-18 09:32:15,2025-03-18 09:32:45,SHORT,NQ,NQ,19872.5,19900.25,19797.5,19797.5,2025-03-18 09:36:15,TP,True,2025-03-18 09:35:00,27.75,2.77,75.0,7.5,2025-03-18,14:32,14:36
54,2025-03-19,2025-03-19 09:35:00,2025-03-19 09:35:15,SHORT,NQ,ES,19778.75,19814.0,19703.75,19778.75,2025-03-19 09:38:15,BE,True,2025-03-19 09:36:00,35.25,3.52,-0.0,-0.0,2025-03-19,14:35,14:38
59,2025-03-26,2025-03-26 09:34:15,2025-03-26 09:34:30,SHORT,NQ,ES,20426.0,20460.5,20351.0,20460.5,2025-03-26 09:36:00,SL,False,,34.5,3.45,-34.5,-3.45,2025-03-26,14:34,14:36
60,2025-03-31,2025-03-31 09:44:00,2025-03-31 09:44:00,SHORT,NQ,NQ,19035.0,19063.25,18960.0,19035.0,2025-03-31 09:49:30,BE,True,2025-03-31 09:44:15,28.25,2.83,-0.0,-0.0,2025-03-31,15:44,15:49
61,2025-04-02,2025-04-02 09:58:00,2025-04-02 09:58:00,SHORT,NQ,NQ,19543.5,19559.25,19468.5,19543.5,2025-04-02 10:00:15,BE,True,2025-04-02 10:00:00,15.75,1.57,-0.0,-0.0,2025-04-02,15:58,16:00
63,2025-04-16,2025-04-16 09:44:15,2025-04-16 09:44:45,SHORT,NQ,ES,18636.25,18673.5,18561.25,18561.25,2025-04-16 09:51:30,TP,True,2025-04-16 09:45:00,37.25,3.73,75.0,7.5,2025-04-16,15:44,15:51
64,2025-04-17,2025-04-17 09:37:00,2025-04-17 09:37:00,SHORT,NQ,NQ,18412.25,18433.0,18337.25,18412.25,2025-04-17 09:37:30,BE,True,2025-04-17 09:37:15,20.75,2.08,-0.0,-0.0,2025-04-17,15:37,15:37
